instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,zone
Clarinet_Bb,gorge,Flute,grave,355,333,22,1391,1377,14,0.893,autre
Clarinet_Bb,clairon,Flute,suraigu,581,559,22,1426,1449,23,0.893,autre
Clarinet_Bb,chalumeau,Violoncello_Ensemble,grave,215,193,22,1315,1155,160,0.891,/u/
Clarinet_Bb,chalumeau,Violoncello_Ensemble,médium,215,193,22,1315,1208,107,0.891,/u/
Viola,médium,Violin,aigu,333,355,22,1317,1228,89,0.889,autre
Bass_Tuba,grave,Violoncello_Ensemble,grave,215,193,22,978,1155,177,0.874,/u/
Bass_Tuba,grave,Violoncello_Ensemble,médium,215,193,22,978,1208,230,0.874,/u/
Viola_Ensemble,aigu,Violin_Ensemble,médium,366,344,22,1292,1231,61,0.870,autre
Viola_Ensemble,suraigu,Violin_Ensemble,aigu,333,355,22,1136,1234,98,0.870,autre
Flute,grave,Violin,aigu,333,355,22,1377,1228,149,0.848,autre
Bass_Tuba,médium,Trombone,pédale,204,226,22,1000,996,4,0.823,/u/
Bass_Tuba,aigu,Trombone,médium,279,301,22,1016,1007,9,0.823,autre
Bass_Tuba,grave,Violoncello,grave,215,193,22,978,1149,171,0.812,/u/
Bass_Tuba,grave,Violoncello,médium,215,193,22,978,1199,221,0.812,/u/
Bassoon,haut médium,Viola,aigu,376,398,22,1175,1232,57,0.811,/o/–/å/
Viola_Ensemble,suraigu,Violin,aigu,333,355,22,1136,1228,92,0.805,autre
Clarinet_Bb,suraigu,Trumpet_C,suraigu,1152,1130,22,1331,1144,187,0.789,autre
Bass_Clarinet_Bb,médium,Contrabass_Ensemble,grave,183,161,22,1270,1127,143,0.787,/u/
Contrabass_Ensemble,aigu,Trombone,grave,193,215,22,1225,1006,219,0.779,/u/
Contrabass_Ensemble,suraigu,Trombone,grave,193,215,22,1258,1006,252,0.779,/u/
Horn,médium,Violin_Ensemble,médium,322,344,22,1006,1231,225,0.779,autre
Bass_Clarinet_Bb,aigu,Violin_Ensemble,aigu,333,355,22,1278,1234,44,0.776,autre
Bass_Tuba,suraigu,Clarinet_Bb,gorge,333,355,22,1042,1391,349,0.766,autre
Bassoon,grave,Violin_Ensemble,grave,506,484,22,1127,1295,168,0.747,/o/–/å/
Bass_Tuba,suraigu,Viola_Ensemble,grave,333,355,22,1042,1304,262,0.725,autre
Clarinet_Bb,chalumeau,Contrabass_Ensemble,aigu,215,193,22,1315,1225,90,0.725,/u/
Clarinet_Bb,chalumeau,Contrabass_Ensemble,suraigu,215,193,22,1315,1258,57,0.725,/u/
Bass_Clarinet_Bb,aigu,Violin,aigu,333,355,22,1278,1228,50,0.718,autre
Horn,aigu,Violin,grave,484,462,22,1014,1208,194,0.717,/o/–/å/
Bassoon,haut médium,Violin,suraigu,376,398,22,1175,1207,32,0.685,/o/–/å/
Bass_Tuba,suraigu,Violin_Ensemble,aigu,333,355,22,1042,1234,192,0.561,autre
Bass_Tuba,suraigu,Violin,aigu,333,355,22,1042,1228,186,0.503,autre
